Date,AAPL,GOOG,IBM,MARA,NVDA
1/16/2023,137.87,99.28,141.2,8.07,178.39
1/23/2023,145.118851,100.709999,134.389999,8.02,203.649994
1/30/2023,153.641205,105.220001,136.940002,7.07,211
2/6/2023,150.170624,94.860001,135.600006,5.92,212.649994
2/13/2023,151.933685,94.589996,135.020004,7.7,213.880005
2/20/2023,146.117279,89.349998,130.570007,6.67,232.860001
2/27/2023,150.419815,94.019997,129.639999,6.38,238.899994
3/6/2023,147.90004,91.010002,125.449997,5.33,229.649994
3/13/2023,154.373779,102.459999,123.690002,8.17,257.25
3/20/2023,159.60257,106.059998,125.290001,7.81,267.790009
3/27/2023,164.233795,104,131.089996,8.72,277.769989
4/3/2023,163.994766,108.900002,130.5,7.98,270.369995
4/10/2023,164.542542,109.459999,128.139999,11.97,267.579987
4/17/2023,164.353317,105.910004,125.730003,8.93,271.190002
4/24/2023,168.994461,108.220001,126.410004,10.07,277.48999
5/1/2023,172.868759,106.214996,123.650002,10.49,286.799988
5/8/2023,171.872803,117.919998,122.839996,8.92,283.399994
5/15/2023,174.693649,123.25,127.260002,9.18,312.640015
5/22/2023,174.962906,125.43,128.889999,8.93,389.459991
5/29/2023,180.468216,125.230003,132.419998,10.03,393.269989
6/5/2023,180.478195,122.870003,135.300003,9.38,387.700012
6/12/2023,184.427643,124.059998,137.479996,9.98,426.920013
6/19/2023,186.182953,123.019997,129.429993,12.71,422.089996
6/26/2023,193.453568,120.970001,133.809998,13.86,423.019989
7/3/2023,190.172302,120.139999,132.080002,15.67,425.029999
7/10/2023,190.182281,125.699997,133.399994,18.07,454.690002
7/17/2023,191.42897,120.309998,138.940002,16.879999,443.089996
7/24/2023,195.308609,133.009995,143.449997,16.700001,467.5
7/31/2023,181.505463,128.539993,144.240005,15.83,446.799988
8/7/2023,177.316635,130.169998,143.119995,14.88,408.549988
8/14/2023,174.260422,128.110001,141.410004,11.28,432.98999
8/21/2023,178.375,130.690002,145.350006,10.55,460.179993
8/28/2023,189.210739,136.800003,147.940002,12,485.089996
9/4/2023,177.945557,137.199997,147.679993,10.91,455.720001
9/11/2023,174.779724,138.300003,145.990005,9.8,439
9/18/2023,174.560013,131.25,146.910004,8.67,416.100006
9/25/2023,170.984741,131.850006,140.300003,8.5,434.98999
10/2/2023,177.256485,138.729996,142.029999,8.08,457.619995
10/9/2023,178.614685,138.580002,138.460007,7.71,454.609985
10/16/2023,172.652542,136.740005,137.160004,7.76,413.869995
10/23/2023,167.998672,123.400002,142.520004,8.86,405
10/30/2023,176.417572,130.369995,147.899994,9.41,450.049988
11/6/2023,186.154739,134.059998,149.020004,9.61,483.350006
11/13/2023,189.690002,136.940002,152.889999,10,492.980011
11/20/2023,189.970001,138.220001,155.179993,11.41,477.76001
11/27/2023,191.240005,133.320007,160.550003,13.7,467.649994
12/4/2023,195.710007,136.639999,161.960007,16.780001,475.059998
12/11/2023,197.570007,133.839996,162.229996,18.290001,488.899994
12/18/2023,193.600006,142.720001,162.139999,26.709999,488.299988
12/25/2023,192.529999,140.929993,163.550003,23.49,495.220001
1/1/2024,181.179993,137.389999,159.160004,24.120001,490.970001
1/8/2024,185.919998,144.240005,165.800003,18.98,547.099976
1/15/2024,191.559998,147.970001,171.479996,16.129999,594.909973
1/22/2024,194.5,147.710007,173.940002,16.27,596.539978
